title,author,score,pages,year,genre,desc,reviews,url
Letters to a Young Poet,Rainer Maria Rilke,"5,677",80,1929,"Poetry,Classics,Nonfiction,Philosophy,Writing,Essays,German Literature","In 1903, a student at a military academy sent some of his verses to a well-known Austrian poet, requesting an assessment of their value. The older artist, Rainer Maria Rilke (1875–1926), replied to the novice in this series of letters—an amazing archive of remarkable insights into the ideas behind Rilke's greatest poetry. The ten letters reproduced here were written during an important stage in Rilke's artistic development, and they contain many of the themes that later appeared in his best works. The poet himself afterwards stated that his letters contained part of his creative genius, making this volume essential reading for scholars, poetry lovers, and anyone with an interest in Rilke, German poetry, or the creative impulse.","9,744",/book/show/46199.Letters_to_a_Young_Poet
A People’s History of the United States,Howard Zinn,"53,824",729,1980,"History,Nonfiction,Politics,American History,Historical,Social Justice,Classics","In the book, Zinn presented a different side of history from the more traditional ""fundamental nationalist glorification of country"". ","7,096",/book/show/2767.A_People_s_History_of_the_United_States
"Neuromancer (Sprawl, #1)",William Gibson,"53,824",268,1984,"Science Fiction,Fiction,Cyberpunk,Classics,Dystopia,Science Fiction Fantasy,Fantasy","Hotwired to the leading edges of art and technology, ","13,973",/book/show/6088007-neuromancer
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"5,677",459,1996,"Science,Nonfiction,Philosophy,Religion,History,Skepticism,Atheism",How can we make intelligent decisions about our increasingly technology-driven lives if we don’t understand the difference between the myths of pseudoscience and the testable hypotheses of science? Pulitzer Prize-winning author and distinguished astronomer Carl Sagan argues that scientific thinking is critical not only to the pursuit of truth but to the very well-being of our democratic institutions.,"3,846",/book/show/17349.The_Demon_Haunted_World
100 Selected Poems,E.E. Cummings,"9,637",121,1923,"Poetry,Classics,Fiction,Literature,American,20th Century,The United States Of America","E.E. Cummings is without question one of the major poets of the 20th century, and this volume, first published in 1959, is indispensable for every lover of modern lyrical verse. It contains one hundred of Cummings’s wittiest and most profound poems, harvested from thirty-five of the most radically creative years in contemporary American poetry. These poems exhibit all the extraordinary lyricism, playfulness, technical ingenuity, and compassion for which Cummings is famous. They demonstrate beautifully his extrapolations from traditional poetic structures and his departures from them, as well as the unique synthesis of lavish imagery and acute artistic precision that has won him the adulation and respect of critics and poetry lovers everywhere.",653,/book/show/76889.100_Selected_Poems
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,"9,637",240,1997,"Fantasy,Young Adult,Fiction,Romance,Middle Grade,Childrens,Fairy Tales","At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the ""gift"" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: ""Instead of making me docile, Lucinda's curse made a rebel of me. Or perhaps I was that way naturally."" When her beloved mother dies, leaving her in the care of a mostly absent and avaricious father, and later, a loathsome stepmother and two treacherous stepsisters, Ella's life and well-being seem to be in grave peril. But her intelligence and saucy nature keep her in good stead as she sets out on a quest for freedom and self-discovery as she tries to track down Lucinda to undo the curse, fending off ogres, befriending elves, and falling in love with a prince along the way. Yes, there is a pumpkin coach, a glass slipper, and a happily ever after, but this is the most remarkable, delightful, and profound version of Cinderella you'll ever read.","12,218",/book/show/24337.Ella_Enchanted
Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,"53,824",416,1987,"Fiction,Historical Fiction,LGBT,Classics,Queer,Historical,Chick Lit","Folksy and fresh, endearing and affecting, ","9,871",/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
The Phantom Tollbooth,Norton Juster,"53,824",248,1961,"Fantasy,Fiction,Classics,Childrens,Young Adult,Middle Grade,Adventure",This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. ,"13,255",/book/show/378.The_Phantom_Tollbooth
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,"5,677",376,1989,"Fantasy,Fiction,Humor,Comedy,Dragons,Science Fiction Fantasy,Audiobook","This is where the dragons went. They lie... not dead, not asleep, but... dormant. And although the space they occupy isn't like normal space, nevertheless they are packed in tightly. They could put you in mind of a can of sardines, if you thought sardines were huge and scaly. And presumably, somewhere, there's a key...","7,149",/book/show/64216.Guards_Guards_
Out of Africa,Isak Dinesen,"18,805",401,1937,"Nonfiction,Africa,Classics,Memoir,Biography,Travel,History"," is Isak Dinesen's memoir of her years in Africa, from 1914 to 1931, on a four-thousand-acre coffee plantation in the hills near Nairobi. She had come to Kenya from Denmark with her husband, and when they separated she stayed on to manage the farm by herself, visited frequently by her lover, the big-game hunter Denys Finch-Hatton, for whom she would make up stories ""like Scheherazade."" In Africa, ""I learned how to tell tales,"" she recalled many years later. ""The natives have an ear still. I told stories constantly to them, all kinds."" Her account of her African adventures, written after she had lost her beloved farm and returned to Denmark, is that of a master storyteller, a woman whom John Updike called ""one of the most picturesque and flamboyant literary personalities of the century."" ","2,628",/book/show/781787.Out_of_Africa
"Fifth Business (The Deptford Trilogy, #1)",Robertson Davies,"5,677",252,1970,"Fiction,Canada,Classics,Historical Fiction,Literature,Literary Fiction,Novels","Ramsay is a man twice born, a man who has returned from the hell of the battle-grave at Passchendaele in World War I decorated with the Victoria Cross and destined to be caught in a no man's land where memory, history, and myth collide. As Ramsay tells his story, it begins to seem that from boyhood, he has exerted a perhaps mystical, perhaps pernicious, influence on those around him. His apparently innocent involvement in such innocuous events as the throwing of a snowball or the teaching of card tricks to a small boy in the end prove neither innocent nor innocuous. Fifth Business stands alone as a remarkable story told by a rational man who discovers that the marvelous is only another aspect of the real.","1,368",/book/show/74406.Fifth_Business
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"9,637",387,1974,"Science Fiction,Fiction,Fantasy,Dystopia,Classics,Science Fiction Fantasy,Speculative Fiction","Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe. To do this dangerous task will mean giving up his family and possibly his life—Shevek must make the unprecedented journey to the utopian mother planet, Urras, to challenge the complex structures of life and living, and ignite the fires of change.","9,695",/book/show/13651.The_Dispossessed
Geek Love,Katherine Dunn,"9,637",348,1989,"Fiction,Horror,Fantasy,Contemporary,Literary Fiction,Novels,Literature"," is the story of the Binewskis, a carny family whose mater- and paterfamilias set out ― with the help of amphetamine, arsenic, and radioisotopes ― to breed their own exhibit of human oddities. There's Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family's most precious ― and dangerous ― asset.","7,080",/book/show/13872.Geek_Love
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"53,824",61,1957,"Childrens,Picture Books,Classics,Fiction,Poetry,Fantasy,Humor",A dreary day turns into a wild romp when this beloved story introduces readers to the ,"7,160",/book/show/233093.The_Cat_in_the_Hat
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,"18,805",288,1996,"Fiction,Chick Lit,Romance,Humor,Contemporary,Comedy,Adult",Meet Bridget Jones —a 30-something Singleton who is certain she would have all the answers if she could:,"12,584",/book/show/227443.Bridget_Jones_s_Diary
We,Yevgeny Zamyatin,"5,677",226,1924,"Fiction,Science Fiction,Classics,Dystopia,Russia,Russian Literature,Literature",Yevgeny Zamyatin's ,"7,420",/book/show/76171.We
I Know This Much Is True,Wally Lamb,"53,824",897,1998,"Fiction,Contemporary,Literary Fiction,Novels,Adult Fiction,Mental Health,Mental Illness","On the afternoon of October 12, 1990, my twin brother, Thomas, entered the Three Rivers, Connecticut, public library, retreated to one of the rear study carrels, and prayed to God the sacrifice he was about to commit would be deemed acceptable. . . .","10,322",/book/show/227711.I_Know_This_Much_Is_True
Gravity’s Rainbow,Thomas Pynchon,"53,824",776,1973,"Fiction,Classics,Science Fiction,Literature,Historical Fiction,Novels,American","Winner of the 1973 National Book Award, Gravity's Rainbow is a postmodern epic, a work as exhaustively significant to the second half of the 20th century as Joyce's Ulysses was to the first. Its sprawling, encyclopedic narrative, and penetrating analysis of the impact of technology on society make it an intellectual tour de force.","4,202",/book/show/415.Gravity_s_Rainbow
Wild Swans: Three Daughters of China,Jung Chang,"18,805",562,1991,"Nonfiction,History,China,Biography,Memoir,Asia,Historical",Alternate cover edition of ISBN ,"7,253",/book/show/1848.Wild_Swans
